ABC-Jazz,http://live-radio01.mediahubaustralia.com/JAZW/mp3/
Antena-2-JazzIn,https://streaming-live.rtp.pt/liveradio/antena2jazzin80a/playlist.m3u8
ClassicalJazzRadio,https://cast1.torontocast.com:1655/stream
Jazz-London-Radio,http://radio.canstream.co.uk:8075/live.mp3
Jazz-Radio,http://jazzradio.ice.infomaniak.ch/jazzradio-high.mp3
Jazzradio.hu,https://www.jazzradio.hu:8000/jazzradio_192.ogg
JazzW3,https://air.jazz.w3.at/jazzw3.ogg
Naim-Jazz,http://mscp3.live-streams.nl:8340/jazz-flac.flac
NRK-Jazz,http://lyd.nrk.no/nrk_radio_jazz_mp3_h.m3u
SomaFM-Sonic-Universe,http://somafm.com/sonicuniverse192.pls
SwissJazz,http://stream.srg-ssr.ch/m/rsj/mp3_128
The-Chiaroscuro-Channel,https://wvia.streamguys1.com/WVIAHD3AAC.m3u
The-Jazz-Groove-West,http://west-aac-64.streamthejazzgroove.com/stream
TSF-Jazz,http://tsfjazz.ice.infomaniak.ch/tsfjazz-high.mp3
WBGO,http://wbgo.streamguys.net/
WDNA-889,http://us9.streamingpulse.com:7033/stream.m3u
WNMC-Community-Public-Radio,http://s4.yesstreaming.net:7170/stream
WUCF-FM-HD2-Latin-Jazz,http://peridot.streamguys.com:7830/WUCF
